instance,initial,1234,1729,2310,3103,9999,4200,5544,7788,8080,6000
X-n766-k71,5.2646191,1152.8860112,1204.1167337,1208.0513288,1046.813115,542.8098783,470.7598615,479.4063602,493.5439066,478.8459318,495.6095128
